PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL,OPENPRC
13407,01/02/2013,FB,27.42000,28.18000,28.00000,69780146,27.44000
13407,01/03/2013,FB,27.59000,28.47000,27.77000,63356558,27.88000
13407,01/04/2013,FB,27.83000,28.93000,28.76000,72646916,28.01000
13407,01/07/2013,FB,28.65000,29.79000,29.42130,83604785,28.69000
13407,01/08/2013,FB,28.86000,29.60000,29.06070,45804214,29.51000
13407,01/09/2013,FB,29.49000,30.60000,30.59000,104537691,29.67000
13407,01/10/2013,FB,30.28000,31.45000,31.30000,95148733,30.60000
13407,01/11/2013,FB,31.10000,31.96000,31.72000,89523373,31.28000
13407,01/14/2013,FB,30.62000,32.21000,30.94750,98896345,32.08000
13407,01/15/2013,FB,29.88000,31.71000,30.10000,173605817,30.64000
13407,01/16/2013,FB,29.53000,30.35000,29.85000,75194953,30.21000
13407,01/17/2013,FB,30.03000,30.42000,30.14000,40149059,30.08000
13407,01/18/2013,FB,29.27000,30.44000,29.66000,49556995,30.31000
13407,01/22/2013,FB,29.74000,30.89000,30.72900,55234304,29.75000
13407,01/23/2013,FB,30.80000,31.50000,30.82000,48933589,31.10000
13407,01/24/2013,FB,30.81000,31.49000,31.08000,43832392,31.27000
13407,01/25/2013,FB,31.13000,31.93000,31.54000,54309936,31.41000
13407,01/28/2013,FB,31.81000,32.50630,32.46900,59764182,31.88000
13407,01/29/2013,FB,30.71000,32.07000,30.79000,73042790,32.00000
13407,01/30/2013,FB,30.88000,31.49000,31.24000,87917346,30.98000
13407,01/31/2013,FB,28.74000,31.47000,30.98100,190237040,29.15000
13407,02/01/2013,FB,29.63000,31.02000,29.73000,85706611,31.01000
13407,02/04/2013,FB,28.01000,29.20000,28.10900,91960947,29.06000
13407,02/05/2013,FB,28.04000,28.96000,28.64000,47844625,28.26000
13407,02/06/2013,FB,28.66000,29.29000,29.05000,38444729,28.74000
13407,02/07/2013,FB,28.27000,29.15000,28.65000,34539394,29.11000
13407,02/08/2013,FB,28.51000,29.17000,28.54500,37483833,28.89000
13407,02/11/2013,FB,28.04000,28.68000,28.26000,37385893,28.61000
13407,02/12/2013,FB,27.10000,28.16000,27.37000,93571649,27.67000
13407,02/13/2013,FB,27.31000,28.32000,27.90750,50188004,27.36000
13407,02/14/2013,FB,28.01000,28.63000,28.50000,35550760,28.02000
13407,02/15/2013,FB,28.09000,28.75000,28.32000,33095296,28.52000
13407,02/19/2013,FB,28.12000,29.08000,28.93000,49341141,28.23000
13407,02/20/2013,FB,28.33000,29.05000,28.46200,42016793,28.92000
13407,02/21/2013,FB,27.15000,28.55000,27.28300,49679340,28.28000
13407,02/22/2013,FB,26.82000,27.63000,27.13000,36260904,27.62000
13407,02/25/2013,FB,27.15000,27.64000,27.27000,34686870,27.16000
13407,02/26/2013,FB,26.70000,27.46000,27.39000,31520629,27.36000
13407,02/27/2013,FB,26.63000,27.34000,26.87000,44264797,27.34000
13407,02/28/2013,FB,26.34000,27.30000,27.25000,82567242,26.84000
13407,03/01/2013,FB,26.81000,28.11640,27.78000,53921449,27.05000
13407,03/04/2013,FB,27.44000,28.06000,27.72000,32322865,27.76000
13407,03/05/2013,FB,27.21000,28.18000,27.52000,40333155,27.88000
13407,03/06/2013,FB,27.35000,28.13000,27.45250,33344474,28.10000
13407,03/07/2013,FB,27.47000,28.67500,28.57800,74460520,27.57000
13407,03/08/2013,FB,27.73000,28.47000,27.96000,44107161,28.42500
13407,03/11/2013,FB,27.83000,28.64000,28.14000,35530812,28.01000
13407,03/12/2013,FB,27.60000,28.32000,27.83000,27564489,28.10000
13407,03/13/2013,FB,26.92000,27.65000,27.08000,39454989,27.62000
13407,03/14/2013,FB,26.83000,27.43000,27.04000,27471015,27.10000
13407,03/15/2013,FB,26.56000,27.06000,26.64500,31419153,27.03000
13407,03/18/2013,FB,25.78000,26.79000,26.49000,26680704,26.37000
13407,03/19/2013,FB,26.21000,26.90000,26.55000,25223603,26.53000
13407,03/20/2013,FB,25.78000,26.69000,25.86000,43955114,26.68000
13407,03/21/2013,FB,25.56000,26.11000,25.74000,24317878,25.66000
13407,03/22/2013,FB,25.63000,26.01000,25.73000,18418833,25.79600
13407,03/25/2013,FB,25.07800,25.80000,25.13100,39029477,25.75000
13407,03/26/2013,FB,25.03000,25.48000,25.20500,26933816,25.08000
13407,03/27/2013,FB,24.72000,26.28000,26.09000,52093746,25.00000
13407,03/28/2013,FB,25.52000,26.17000,25.58000,28515542,26.09000
13407,04/01/2013,FB,25.28000,25.89000,25.53000,22240638,25.63000
13407,04/02/2013,FB,25.30000,26.12000,25.42000,35097051,25.77000
13407,04/03/2013,FB,25.70000,26.39000,26.25000,47970539,25.83000
13407,04/04/2013,FB,26.11000,27.23010,27.07250,81616224,26.62000
13407,04/05/2013,FB,26.61000,27.80000,27.39000,64350661,26.86000
13407,04/08/2013,FB,26.63000,27.20000,26.84900,27170898,27.19000
13407,04/09/2013,FB,26.42000,26.89000,26.59000,21307427,26.58000
13407,04/10/2013,FB,26.90000,27.84000,27.57000,45743339,27.01000
13407,04/11/2013,FB,27.25000,28.10000,28.01750,33352431,27.48000
13407,04/12/2013,FB,27.24000,28.00000,27.40000,28612321,28.00000
13407,04/15/2013,FB,26.36000,27.48000,26.52000,30214048,27.16000
13407,04/16/2013,FB,26.40000,27.11000,26.92000,27301957,26.81000
13407,04/17/2013,FB,26.39000,27.20000,26.62500,26315059,26.65000
13407,04/18/2013,FB,25.15000,26.82000,25.69000,38975673,26.82000
13407,04/19/2013,FB,25.33000,25.96000,25.73000,20419808,25.62000
13407,04/22/2013,FB,25.70000,26.36000,25.97000,25660634,25.81000
13407,04/23/2013,FB,25.77000,26.33000,25.98000,25221274,26.21500
13407,04/24/2013,FB,25.80000,26.40000,26.11000,19735225,25.93000
13407,04/25/2013,FB,26.00000,26.40000,26.14000,17133118,26.07000
13407,04/26/2013,FB,26.60000,27.62000,26.85000,32731951,26.60000
13407,04/29/2013,FB,26.86000,27.41000,26.98000,28850171,27.16000
13407,04/30/2013,FB,27.00500,27.85000,27.76900,35980473,27.13000
13407,05/01/2013,FB,27.31000,27.91500,27.43000,64842586,27.85000
13407,05/02/2013,FB,27.98000,29.02000,28.97000,103676325,28.01000
13407,05/03/2013,FB,28.15000,29.07000,28.31100,58080029,29.04000
13407,05/06/2013,FB,27.48000,28.46000,27.57000,43627000,28.33000
13407,05/07/2013,FB,26.85000,27.85000,26.88900,40932768,27.55000
13407,05/08/2013,FB,26.65000,27.30000,27.12000,35382589,26.88000
13407,05/09/2013,FB,26.85000,27.55000,27.04000,33478415,27.08000
13407,05/10/2013,FB,26.57000,27.30000,26.68000,30788247,27.14000
13407,05/13/2013,FB,26.53100,27.32500,26.82000,28988584,26.60000
13407,05/14/2013,FB,26.82000,27.28000,27.07000,24806651,26.88500
13407,05/15/2013,FB,26.40000,26.99000,26.60000,30129352,26.92000
13407,05/16/2013,FB,25.90000,26.55000,26.13000,35336200,26.48000
13407,05/17/2013,FB,26.20000,26.60000,26.25000,29417081,26.40000
13407,05/20/2013,FB,25.69000,26.19000,25.75900,42237389,26.18000
13407,05/21/2013,FB,25.59000,26.07500,25.66000,26137987,25.87000
13407,05/22/2013,FB,24.92000,25.85000,25.15900,45258915,25.65000
13407,05/23/2013,FB,24.77000,25.53000,25.06000,37586783,24.80000
13407,05/24/2013,FB,24.08000,24.97000,24.31250,58419406,24.97000
13407,05/28/2013,FB,23.92000,24.54000,24.10000,49879681,24.54000
13407,05/29/2013,FB,23.26000,23.81000,23.32000,63590108,23.79000
13407,05/30/2013,FB,23.93000,24.77900,24.55000,60619950,24.13000
13407,05/31/2013,FB,24.27000,24.95000,24.34800,35821330,24.63000
13407,06/03/2013,FB,23.71000,24.32000,23.84800,35670735,24.26500
13407,06/04/2013,FB,23.32000,23.93000,23.52000,34738343,23.89000
13407,06/05/2013,FB,22.79000,23.70500,22.89900,53707811,23.35000
13407,06/06/2013,FB,22.67000,23.09000,22.97000,31219862,22.99000
13407,06/07/2013,FB,22.86000,23.40000,23.29100,38664490,23.03000
13407,06/10/2013,FB,23.99000,24.60000,24.33000,58240568,24.06000
13407,06/11/2013,FB,24.00000,24.35000,24.03000,29944812,24.03000
13407,06/12/2013,FB,23.58000,24.26000,23.77000,26400310,24.16000
13407,06/13/2013,FB,23.26500,23.83000,23.73000,31159671,23.72000
13407,06/14/2013,FB,23.26000,23.89000,23.63000,30486955,23.56000
13407,06/17/2013,FB,23.75000,24.25000,24.02200,33528710,23.91000
13407,06/18/2013,FB,24.08000,24.69000,24.21000,36621450,24.09000
13407,06/19/2013,FB,24.10000,25.19000,24.30900,31730672,24.20000
13407,06/20/2013,FB,23.65000,24.74500,23.90000,42676384,24.28000
13407,06/21/2013,FB,24.05000,24.70000,24.53000,45717692,24.59000
13407,06/24/2013,FB,23.38000,24.11000,23.93500,40551403,23.95000
13407,06/25/2013,FB,24.04000,24.43000,24.25000,25233963,24.14000
13407,06/26/2013,FB,23.99000,24.65000,24.16000,29837060,24.51000
13407,06/27/2013,FB,24.21000,24.84000,24.66000,34506467,24.24000
13407,06/28/2013,FB,24.42000,24.98000,24.88000,96669447,24.68000
13407,07/01/2013,FB,24.62000,25.06010,24.81000,20552585,24.96940
13407,07/02/2013,FB,24.30000,24.77000,24.41000,18388611,24.70000
13407,07/03/2013,FB,24.15000,24.71000,24.52000,10406765,24.22000
13407,07/05/2013,FB,24.20000,24.66000,24.37000,19481669,24.65000
13407,07/08/2013,FB,24.42000,25.04000,24.71000,25554112,24.47000
13407,07/09/2013,FB,25.03000,25.49000,25.48000,30329975,25.07000
13407,07/10/2013,FB,25.47000,25.83000,25.80000,26739003,25.58000
13407,07/11/2013,FB,25.45000,26.00000,25.81000,26749053,25.96000
13407,07/12/2013,FB,25.55000,25.93000,25.91000,16483210,25.74000
13407,07/15/2013,FB,25.65000,26.43000,26.28000,24188485,25.93000
13407,07/16/2013,FB,26.01000,26.75000,26.32000,30596092,26.39000
13407,07/17/2013,FB,26.30000,26.78000,26.65000,21445730,26.37000
13407,07/18/2013,FB,26.12000,26.77000,26.18000,24892335,26.75000
13407,07/19/2013,FB,25.60000,26.10770,25.88100,46440834,25.82000
13407,07/22/2013,FB,25.72000,26.13000,26.04500,27489340,25.99000
13407,07/23/2013,FB,25.97000,26.30000,26.13000,27954258,26.10000
13407,07/24/2013,FB,26.05000,26.53000,26.51000,82718605,26.32000
13407,07/25/2013,FB,32.75000,34.88000,34.35900,364659414,33.54500
13407,07/26/2013,FB,33.56000,34.73000,34.01000,135225270,33.77000
13407,07/29/2013,FB,34.01000,35.63000,35.43000,124404186,34.07000
13407,07/30/2013,FB,35.32000,37.96000,37.62700,173380145,35.65000
13407,07/31/2013,FB,36.33000,38.31000,36.80000,155139997,37.96000
13407,08/01/2013,FB,36.92000,38.29000,37.48900,105613750,37.30000
13407,08/02/2013,FB,37.50000,38.49000,38.05000,73127595,37.66000
13407,08/05/2013,FB,38.25000,39.32000,39.18900,80036717,38.43000
13407,08/06/2013,FB,37.94000,39.25000,38.55000,63745200,39.11000
13407,08/07/2013,FB,37.70000,38.94000,38.87000,68873759,38.61000
13407,08/08/2013,FB,38.43000,39.19000,38.54000,41242942,39.13000
13407,08/09/2013,FB,38.01000,38.74000,38.50000,43146860,38.59000
13407,08/12/2013,FB,38.10000,38.50000,38.22000,31115790,38.20000
13407,08/13/2013,FB,36.77000,38.32000,37.01900,64905888,38.24000
13407,08/14/2013,FB,36.62000,37.55000,36.65000,48419166,36.83000
13407,08/15/2013,FB,36.02010,37.07000,36.56000,56554059,36.36000
13407,08/16/2013,FB,36.90000,37.49000,37.08000,45715829,36.97000
13407,08/19/2013,FB,37.14000,38.28000,37.81000,56337240,37.43000
13407,08/20/2013,FB,37.69000,38.58000,38.41000,57320429,38.35000
13407,08/21/2013,FB,38.14500,38.85000,38.32000,46166319,38.38000
13407,08/22/2013,FB,38.34000,38.75000,38.55000,21959948,38.37000
13407,08/23/2013,FB,38.93000,40.63000,40.55000,86360016,39.00000
13407,08/26/2013,FB,40.62000,41.94000,41.34000,94004342,40.90000
13407,08/27/2013,FB,39.42000,41.20000,39.64000,72687323,40.68000
13407,08/28/2013,FB,39.88000,40.85000,40.54800,57954909,39.96000
13407,08/29/2013,FB,40.80000,41.78000,41.28000,58305217,40.89000
13407,08/30/2013,FB,41.06000,42.26000,41.29400,67718687,42.02500
13407,09/03/2013,FB,41.51000,42.16500,41.87000,48700859,41.84000
13407,09/04/2013,FB,41.44000,42.17000,41.78000,42459025,42.01000
13407,09/05/2013,FB,41.77000,42.76500,42.66000,49939081,41.79000
13407,09/06/2013,FB,42.40000,44.61000,43.95000,117485505,43.09000
13407,09/09/2013,FB,43.70000,44.79000,44.04000,75323570,44.36000
13407,09/10/2013,FB,43.23000,44.26000,43.60000,54119721,44.24000
13407,09/11/2013,FB,43.11000,45.09000,45.04000,71947161,43.39000
13407,09/12/2013,FB,44.65000,45.62000,44.75000,68453078,45.53000
13407,09/13/2013,FB,43.93000,45.08000,44.31000,52863190,45.04000
13407,09/16/2013,FB,42.43000,44.94000,42.51000,70759882,44.85000
13407,09/17/2013,FB,42.43000,45.44000,45.07000,91967023,42.50000
13407,09/18/2013,FB,44.39500,45.47000,45.23000,79360472,44.84000
13407,09/19/2013,FB,45.23000,46.05000,45.98000,63963300,45.51000
13407,09/20/2013,FB,45.74000,47.60000,47.49000,115471017,46.32000
